id;construction_id_a;construction_id_b;sentence_a;sentence_b;contrast_type;explanation;source_table
cp_1;transitive_cxn;caused_motion_cxn;He sliced the bread.;Pat sliced the carrots into the salad;transitive vs. caused motion;"Same verb; transitive encodes simple action on a Patient with no specified endpoint; caused-motion adds a Goal PP, encoding the Theme's change of location as constructionally entailed";cross_construction_set
cp_2;transitive_cxn;ditransitive_cxn;He sliced the bread.;Pat sliced Chris a piece of pie.;transitive vs. ditransitive;"Same verb; ditransitive adds a Recipient and encodes intended transfer; transitive encodes only the action on the object with no transfer meaning";cross_construction_set
cp_3;transitive_cxn;resultative_cxn;He sliced the bread.;Pat sliced the box open.;transitive vs. Resultative;"Same verb; resultative adds a result XP (open) encoding the end-state of the object, absent from the plain transitive";cross_construction_set
cp_4;caused_motion_cxn;resultative_cxn;Pat sliced the carrots into the salad.;Pat sliced the box open.;caused_motion vs. resultative;"Same verb; resultative can be seen as a metaphorical extension of the caused-motion cxn since the resultative involves a metaphorical interpretation of the result phrase as metaphorical type
of goal; conceptual linking metaphor: change is motion (Goldberg 1995: 115)";cross_construction_set
cp_5;ditransitive_cxn; caused_motion_cxn;Pat sliced Chris a piece of pie.;Pat sliced the carrots into the salad.;ditransitive vs. caused motion;"Same verb; ditransitive encodes transfer to a Recipient; caused-motion encodes directed motion to a location, not possession change";cross_construction_set
